hf_model_id,family_cluster,case_cluster,method_group,domain_group,core_case_label,core_case_score,analysis_include_flag,is_family_representative,cluster_rank_in_family,priority_bucket,candidate_tier,case_study_priority,primary_domain,primary_task,primary_family,repo_style,transition_archetype,transition_signal_type,artifact_change_focus,transition_readiness,sync_readiness,documentation_level,reproducibility_level,deployment_level,screen_total_score,transition_value_score,artifact_richness_score,cross_platform_score,file_count,artifact_signature,evidence_terms,local_repo_json,local_readme_txt,local_manifest_json
Sari95/Linear-Regression-for-Energy-Consumption-Prediction,linear regression,classical_or_baseline_forecasting_repo,baseline_or_classical_forecasting,energy_systems,core_secondary,26,True,True,1,p3,secondary_candidate,secondary_case,energy,prediction,linear regression,notebook_project_repo,classical_or_baseline_forecasting_repo,baseline_forecasting_signal,notebook_centric,medium,low,medium,low,low,14,1,4,1,3,notebooks,prediction; model; notebook,E:\Faisal Work\Ali bahi Profiling\data_hf\03_snapshots\repo_json\Sari95__Linear-Regression-for-Energy-Consumption-Prediction.json,E:\Faisal Work\Ali bahi Profiling\data_hf\03_snapshots\readmes\Sari95__Linear-Regression-for-Energy-Consumption-Prediction.txt,E:\Faisal Work\Ali bahi Profiling\data_hf\03_snapshots\manifests\Sari95__Linear-Regression-for-Energy-Consumption-Prediction.json
Sari95/LSTM-for-Energy-Consumption-Prediction,lstm,classical_or_baseline_forecasting_repo,baseline_or_classical_forecasting,energy_systems,core_secondary,26,True,True,1,p2,strong_candidate,secondary_case,energy,prediction,lstm,notebook_project_repo,classical_or_baseline_forecasting_repo,baseline_forecasting_signal,notebook_centric,medium,low,medium,low,low,13,2,4,1,3,notebooks,prediction; model; notebook,E:\Faisal Work\Ali bahi Profiling\data_hf\03_snapshots\repo_json\Sari95__LSTM-for-Energy-Consumption-Prediction.json,E:\Faisal Work\Ali bahi Profiling\data_hf\03_snapshots\readmes\Sari95__LSTM-for-Energy-Consumption-Prediction.txt,E:\Faisal Work\Ali bahi Profiling\data_hf\03_snapshots\manifests\Sari95__LSTM-for-Energy-Consumption-Prediction.json
Sari95/SARIMAX-for-Energy-Consumption-Prediction,sarimax,classical_or_baseline_forecasting_repo,baseline_or_classical_forecasting,energy_systems,core_secondary,26,True,True,1,p2,strong_candidate,secondary_case,energy,prediction,sarimax,notebook_project_repo,classical_or_baseline_forecasting_repo,baseline_forecasting_signal,notebook_centric,medium,low,medium,low,low,13,2,4,1,3,notebooks,prediction; model; notebook,E:\Faisal Work\Ali bahi Profiling\data_hf\03_snapshots\repo_json\Sari95__SARIMAX-for-Energy-Consumption-Prediction.json,E:\Faisal Work\Ali bahi Profiling\data_hf\03_snapshots\readmes\Sari95__SARIMAX-for-Energy-Consumption-Prediction.txt,E:\Faisal Work\Ali bahi Profiling\data_hf\03_snapshots\manifests\Sari95__SARIMAX-for-Energy-Consumption-Prediction.json
Apoorv468/EnergyPrediction,application_wrapper,application_wrapper_repo,application_wrapped_model,energy_systems,core_secondary,26,True,False,5,p3,strong_candidate,secondary_case,energy,prediction,,app_or_demo_repo,application_wrapper_repo,application_wrapper_signal,application_or_runtime_artifacts,medium,medium,low,medium,medium,11,0,5,2,5,requirements; example_code,requirements; example,E:\Faisal Work\Ali bahi Profiling\data_hf\03_snapshots\repo_json\Apoorv468__EnergyPrediction.json,E:\Faisal Work\Ali bahi Profiling\data_hf\03_snapshots\readmes\Apoorv468__EnergyPrediction.txt,E:\Faisal Work\Ali bahi Profiling\data_hf\03_snapshots\manifests\Apoorv468__EnergyPrediction.json
hectorferrandizsanchis/energy-demand-forecasting-lstm,lstm,classical_or_baseline_forecasting_repo,baseline_or_classical_forecasting,energy_systems,core_secondary,25,True,False,2,p2,strong_candidate,secondary_case,demand,forecasting,lstm,lightweight_repo,classical_or_baseline_forecasting_repo,baseline_forecasting_signal,light_metadata_artifacts,medium,low,low,low,low,14,2,4,1,2,,,E:\Faisal Work\Ali bahi Profiling\data_hf\03_snapshots\repo_json\hectorferrandizsanchis__energy-demand-forecasting-lstm.json,E:\Faisal Work\Ali bahi Profiling\data_hf\03_snapshots\readmes\hectorferrandizsanchis__energy-demand-forecasting-lstm.txt,E:\Faisal Work\Ali bahi Profiling\data_hf\03_snapshots\manifests\hectorferrandizsanchis__energy-demand-forecasting-lstm.json
Yashvi11/PhotoVoltaicPrediction,other,general_energy_ml_repo,other,solar_pv,core_secondary,24,True,False,2,p3,secondary_candidate,secondary_case,photovoltaic,prediction,,lightweight_repo,general_energy_ml_repo,family_named_signal,application_or_runtime_artifacts,medium,medium,low,medium,low,11,0,5,1,3,example_code,example; code,E:\Faisal Work\Ali bahi Profiling\data_hf\03_snapshots\repo_json\Yashvi11__PhotoVoltaicPrediction.json,E:\Faisal Work\Ali bahi Profiling\data_hf\03_snapshots\readmes\Yashvi11__PhotoVoltaicPrediction.txt,E:\Faisal Work\Ali bahi Profiling\data_hf\03_snapshots\manifests\Yashvi11__PhotoVoltaicPrediction.json
Sari95/Exponential-Smoothing-for-Energy-Consumption-Prediction,notebook_baseline,notebook_only_repo,other,energy_systems,core_secondary,22,True,True,1,p3,secondary_candidate,secondary_case,energy,prediction,,notebook_project_repo,notebook_only_repo,family_named_signal,notebook_centric,medium,low,medium,low,low,11,0,4,1,3,notebooks,prediction; model; notebook,E:\Faisal Work\Ali bahi Profiling\data_hf\03_snapshots\repo_json\Sari95__Exponential-Smoothing-for-Energy-Consumption-Prediction.json,E:\Faisal Work\Ali bahi Profiling\data_hf\03_snapshots\readmes\Sari95__Exponential-Smoothing-for-Energy-Consumption-Prediction.txt,E:\Faisal Work\Ali bahi Profiling\data_hf\03_snapshots\manifests\Sari95__Exponential-Smoothing-for-Energy-Consumption-Prediction.json
Sari95/Transformer-Architecture-for-Energy-Consumption-Prediction,notebook_baseline,notebook_only_repo,other,energy_systems,core_secondary,22,True,True,1,p3,secondary_candidate,secondary_case,energy,prediction,,notebook_project_repo,notebook_only_repo,family_named_signal,notebook_centric,medium,low,medium,low,low,11,0,4,1,3,notebooks,prediction; model; notebook,E:\Faisal Work\Ali bahi Profiling\data_hf\03_snapshots\repo_json\Sari95__Transformer-Architecture-for-Energy-Consumption-Prediction.json,E:\Faisal Work\Ali bahi Profiling\data_hf\03_snapshots\readmes\Sari95__Transformer-Architecture-for-Energy-Consumption-Prediction.txt,E:\Faisal Work\Ali bahi Profiling\data_hf\03_snapshots\manifests\Sari95__Transformer-Architecture-for-Energy-Consumption-Prediction.json
Sari95/TBATS-for-Energy-Consumption-Prediction,notebook_baseline,notebook_only_repo,other,energy_systems,core_secondary,22,True,True,1,p3,secondary_candidate,secondary_case,energy,prediction,,notebook_project_repo,notebook_only_repo,family_named_signal,notebook_centric,medium,low,medium,low,low,11,0,4,1,3,notebooks,prediction; model; notebook,E:\Faisal Work\Ali bahi Profiling\data_hf\03_snapshots\repo_json\Sari95__TBATS-for-Energy-Consumption-Prediction.json,E:\Faisal Work\Ali bahi Profiling\data_hf\03_snapshots\readmes\Sari95__TBATS-for-Energy-Consumption-Prediction.txt,E:\Faisal Work\Ali bahi Profiling\data_hf\03_snapshots\manifests\Sari95__TBATS-for-Energy-Consumption-Prediction.json
yaralexie/loadshedding-prediction-models,lstm,classical_or_baseline_forecasting_repo,baseline_or_classical_forecasting,energy_systems,core_secondary,21,True,False,3,p3,secondary_candidate,secondary_case,load,prediction,lstm,weights_only_repo,classical_or_baseline_forecasting_repo,baseline_forecasting_signal,weights_centric,medium,low,low,low,low,10,3,3,0,5,weights,,E:\Faisal Work\Ali bahi Profiling\data_hf\03_snapshots\repo_json\yaralexie__loadshedding-prediction-models.json,E:\Faisal Work\Ali bahi Profiling\data_hf\03_snapshots\readmes\yaralexie__loadshedding-prediction-models.txt,E:\Faisal Work\Ali bahi Profiling\data_hf\03_snapshots\manifests\yaralexie__loadshedding-prediction-models.json
ariefansclub/han-humanoid-energy-regression-model-v1,other,general_energy_ml_repo,other,energy_systems,core_secondary,20,True,False,3,p3,secondary_candidate,secondary_case,energy,regression,,lightweight_repo,general_energy_ml_repo,family_named_signal,light_metadata_artifacts,medium,low,low,low,low,11,0,4,1,2,,model,E:\Faisal Work\Ali bahi Profiling\data_hf\03_snapshots\repo_json\ariefansclub__han-humanoid-energy-regression-model-v1.json,E:\Faisal Work\Ali bahi Profiling\data_hf\03_snapshots\readmes\ariefansclub__han-humanoid-energy-regression-model-v1.txt,E:\Faisal Work\Ali bahi Profiling\data_hf\03_snapshots\manifests\ariefansclub__han-humanoid-energy-regression-model-v1.json
emircabalak/energy-prediction-model,other,general_energy_ml_repo,other,energy_systems,core_secondary,19,True,False,4,p3,secondary_candidate,secondary_case,energy,prediction,,weights_only_repo,general_energy_ml_repo,family_named_signal,weights_centric,medium,low,low,low,low,9,0,4,1,3,weights,,E:\Faisal Work\Ali bahi Profiling\data_hf\03_snapshots\repo_json\emircabalak__energy-prediction-model.json,E:\Faisal Work\Ali bahi Profiling\data_hf\03_snapshots\readmes\emircabalak__energy-prediction-model.txt,E:\Faisal Work\Ali bahi Profiling\data_hf\03_snapshots\manifests\emircabalak__energy-prediction-model.json
rupak15/power-prediction,other,general_energy_ml_repo,other,energy_systems,core_secondary,19,True,False,4,p3,secondary_candidate,secondary_case,power,prediction,,weights_only_repo,general_energy_ml_repo,family_named_signal,weights_centric,medium,low,low,low,low,9,0,4,1,3,weights,,E:\Faisal Work\Ali bahi Profiling\data_hf\03_snapshots\repo_json\rupak15__power-prediction.json,E:\Faisal Work\Ali bahi Profiling\data_hf\03_snapshots\readmes\rupak15__power-prediction.txt,E:\Faisal Work\Ali bahi Profiling\data_hf\03_snapshots\manifests\rupak15__power-prediction.json
